"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"Costal1_X"	"Costal1_Y"	"Costal2_X"	"Costal2_Y"
453.757810588041	458.592042066435	422.554343131116	531.77994182305	469.000760905505	600.532458875981	413.357447250078	528.279316016441	412.898607444482	494.637571900292	468.731401010868	633.955060025209	416.105004005236	631.458217688192
453.77237478346	458.5924585271	424.894726213709	532.070626154157	471.190345024536	600.525411764593	415.791876984297	528.702124748912	414.350492036272	494.731585759024	470.942165660049	634.054884042695	418.402950780464	631.491332533166
453.78484688095	458.592821447964	427.255116320941	532.317958168099	473.393277431844	600.497434112003	418.22338830233	529.062058347766	415.856381917486	494.793370496299	473.168658244572	634.132761146455	420.729128269981	631.477709582371
453.794596142853	458.593101013951	429.630738771669	532.5249661137	475.616967074946	600.453923006742	420.640183104294	529.361828085974	417.405378124126	494.828470697591	475.419921781527	634.191249656702	423.07578468489	631.427383868911
453.801563511835	458.593278694003	432.019749522413	532.695283632271	477.869991874234	600.401602340589	423.033681387564	529.603568409756	418.988073681743	494.841705698695	477.706549595178	634.233505016671	425.432272179683	631.35216973614
453.805758753638	458.593338587484	434.421026272787	532.832690910548	480.159846575769	600.346832113924	425.397267038041	529.789611913544	420.595774046703	494.837260525849	480.03790896914	634.262793174411	427.787900270058	631.263663741538
453.807575867954	458.593280227566	436.837693228002	532.941829628897	482.487258534396	600.293632664449	427.736215733188	529.923554881276	422.224075615407	494.815457064426	482.415691114539	634.283019740119	430.131920470492	631.17199238814
453.807555284217	458.593109029174	439.274492916484	533.027669778837	484.850376084153	600.245132695484	430.060335056027	530.009475182991	423.870210041226	494.775144975071	484.838661927551	634.298334096211	432.453562191471	631.08672194818
453.806213011534	458.592834768369	441.737109580362	533.094291309607	487.246198620351	600.202644778149	432.381646481498	530.051558696062	425.532930275578	494.715045468216	487.303455074005	634.312234708821	434.744738885876	631.015333158976
453.803966224723	458.592484619434	444.234981573883	533.142211416185	489.667150090659	600.160223975528	434.720991367903	530.054419535181	427.217061586045	494.633377545762	489.798198332326	634.325614459482	437.008100350214	630.956969029459
